Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),38,135,99,56,0.405,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),38,116,103,11,0.425,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),46,110,114,8,0.386,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),34,116,90,14,0.373,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),39,107,108,1,0.399,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),19,87,71,3,0.372,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),37,107,99,27,0.35,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),33,103,95,31,0.346,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
José Ramírez,CLE,Jose Ramirez (CLE),28,94,97,23,0.365,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),28,88,92,11,0.341,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),33,99,106,25,0.366,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
Corey Seager,TEX,Corey Seager (TEX),30,94,88,3,0.367,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),30,102,94,42,0.329,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Rafael Devers,BOS,Rafael Devers (BOS),36,104,103,5,0.36,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),26,104,83,42,0.353,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Matt Olson,ATL,Matt Olson (ATL),41,103,112,1,0.371,0,0,0,0,0,0,14.67,9,21,0,1,0,0,0,1,0,1,0
Freddie Freeman,LAD,Freddie Freeman (LAD),26,101,97,13,0.387,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Alex Bregman,HOU,Alex Bregman (HOU),24,90,90,3,0.367,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Yandy Díaz,TBR,Yandy Diaz (TBR),21,100,72,4,0.388,0,0,0,0,0,0,134.93,99,184,0,1,0,0,0,1,0,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),27,92,85,21,0.333,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Marcus Semien,TEX,Marcus Semien (TEX),28,102,80,16,0.335,0,0,0,0,0,0,30.12,16,41,0,0,1,0,0,1,0,1,0
Michael Harris II,ATL,Michael Harris II (ATL),23,80,83,22,0.337,0,0,0,0,0,0,26.03,15,35,0,0,0,0,0,0,1,1,0
William Contreras,MIL,William Contreras (MIL),23,82,76,4,0.351,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),39,113,105,20,0.375,0,0,0,1,1.17,3.49,11.48,4,24,0,0,0,0,0,0,0,1,1
Xander Bogaerts,SDP,Xander Bogaerts (SDP),20,87,74,12,0.348,0,0,0,0,0,0,101.31,70,130,0,0,1,0,1,1,0,1,0
Bo Bichette,TOR,Bo Bichette (TOR),25,87,92,12,0.334,0,0,0,0,0,0,39.42,26,56,0,0,0,0,1,1,0,1,0
Mike Trout,LAA,Mike Trout (LAA),36,94,99,3,0.353,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Gleyber Torres,NYY,Gleyber Torres (NYY),26,95,83,15,0.342,0,0,0,0,0,0,73.79,50,105,0,0,1,0,0,1,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),35,101,102,7,0.366,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Will Smith,LAD,Will Smith (LAD),22,70,77,2,0.351,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Jose Altuve,HOU,Jose Altuve (HOU),26,104,78,16,0.353,0,0,0,0,0,0,40.66,26,66,0,0,1,0,0,1,0,1,0
Bryce Harper,PHI,Bryce Harper (PHI),29,94,97,13,0.389,0,0,0,0,0,0,17.23,10,24,0,1,0,0,0,1,0,1,0
Austin Riley,ATL,Austin Riley (ATL),35,96,109,3,0.347,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Manny Machado,SDP,Manny Machado (SDP),32,87,100,6,0.337,0,0,0,0,0,0,54.91,37,71,0,0,0,1,0,1,0,1,0
Ozzie Albies,ATL,Ozzie Albies (ATL),29,99,93,13,0.333,0,0,0,0,0,0,23.41,15,34,0,0,1,0,0,1,0,1,0
Brandon Nimmo,NYM,Brandon Nimmo (NYM),20,97,68,6,0.364,0,0,0,0,0,0,193.47,155,250,0,0,0,0,0,0,1,1,0
Trea Turner,PHI,Trea Turner (PHI),22,94,83,25,0.332,0,0,0,0,0,0,12.66,8,19,0,0,0,0,1,1,0,1,0
Ketel Marte,ARI,Ketel Marte (ARI),21,95,82,7,0.352,0,0,0,0,0,0,113.74,84,150,0,0,1,0,0,1,0,1,0
Royce Lewis,MIN,Royce Lewis (MIN),28,78,90,12,0.336,0,0,0,0,0,0,48.18,31,70,0,0,0,1,0,1,0,1,0
Cal Raleigh,SEA,Cal Raleigh (SEA),28,67,78,1,0.304,0,0,0,0,0,0,143.03,108,185,1,0,0,0,0,0,0,1,0
Andrés Giménez,CLE,Andres Gimenez (CLE),19,83,76,27,0.328,0,0,0,0,0,0,104.31,82,133,0,0,1,0,0,1,0,1,0
Francisco Alvarez,NYM,Francisco Alvarez (NYM),25,59,66,3,0.316,0,0,0,0,0,0,147.73,102,186,1,0,0,0,0,0,0,1,0
J.P. Crawford,SEA,J.P. Crawford (SEA),14,86,60,4,0.355,0,0,0,0,0,0,318.47,190,360,0,0,0,0,1,1,0,1,0
Isaac Paredes,TBR,Isaac Paredes (TBR),27,74,81,1,0.344,0,0,0,0,0,0,191.6,96,266,0,1,0,1,0,1,0,1,0
Carlos Correa,MIN,Carlos Correa (MIN),21,78,77,1,0.344,0,0,0,0,0,0,245.39,121,323,0,0,0,0,1,1,0,1,0
Luis Robert Jr.,CHW,Luis Robert Jr. (CHW),33,86,98,19,0.318,0,0,0,0,0,0,32.72,20,57,0,0,0,0,0,0,1,1,0
Jung Hoo Lee,SFG,Jung Hoo Lee (SFG),12,84,57,9,0.354,0,0,0,0,0,0,230.91,124,301,0,0,0,0,0,0,1,1,0
Nolan Arenado,STL,Nolan Arenado (STL),28,83,98,4,0.323,0,0,0,0,0,0,105.81,52,140,0,0,0,1,0,1,0,1,0
Pete Alonso,NYM,Pete Alonso (NYM),42,94,110,4,0.34,0,0,0,0,0,0,24.84,15,35,0,1,0,0,0,1,0,1,0
Oneil Cruz,PIT,Oneil Cruz (PIT),26,89,72,22,0.328,0,0,0,0,0,0,48.14,13,83,0,0,0,0,1,1,0,1,0
Jonah Heim,TEX,Jonah Heim (TEX),17,56,61,3,0.31,0,0,0,0,0,0,177.97,140,226,1,0,0,0,0,0,0,1,0
Luis Arraez,MIA,Luis Arraez (MIA),9,82,59,5,0.372,0,0,0,0,0,0,164.61,110,238,0,0,1,0,0,1,0,1,0
Alejandro Kirk,TOR,Alejandro Kirk (TOR),11,43,43,1,0.359,0,0,0,0,0,0,255.55,180,351,1,0,0,0,0,0,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),17,52,55,1,0.341,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
Willy Adames,MIL,Willy Adames (MIL),26,79,83,7,0.32,0,0,0,0,0,0,186.36,130,232,0,0,0,0,1,1,0,1,0
Paul Goldschmidt,STL,Paul Goldschmidt (STL),28,97,88,8,0.361,0,0,0,0,0,0,82.92,41,119,0,1,0,0,0,1,0,1,0
Nico Hoerner,CHC,Nico Hoerner (CHC),11,74,65,29,0.342,0,0,0,0,0,0,65.19,37,92,0,0,1,0,1,1,0,1,0
Gabriel Moreno,ARI,Gabriel Moreno (ARI),11,55,55,7,0.348,0,0,0,0,0,0,161.74,129,221,1,0,0,0,0,0,0,1,0
Riley Greene,DET,Riley Greene (DET),18,84,71,8,0.343,0,0,0,0,0,0,147.78,102,178,0,0,0,0,0,0,1,1,0
CJ Abrams,WSN,CJ Abrams (WSN),17,80,64,35,0.311,0,0,0,0,0,0,33.75,19,50,0,0,0,0,1,1,0,1,0
Triston Casas,BOS,Triston Casas (BOS),28,84,89,2,0.371,0,0,0,0,0,0,89.07,64,118,0,1,0,0,0,1,0,1,0
Steven Kwan,CLE,Steven Kwan (CLE),9,92,59,20,0.357,0,0,0,0,0,0,213.61,133,291,0,0,0,0,0,0,1,1,0
Randy Arozarena,TBR,Randy Arozarena (TBR),24,85,86,24,0.346,0,0,0,0,0,0,43.72,26,59,0,0,0,0,0,0,1,1,0
Ian Happ,CHC,Ian Happ (CHC),22,89,75,12,0.346,0,0,0,0,0,0,178.95,131,226,0,0,0,0,0,0,1,1,0
Dansby Swanson,CHC,Dansby Swanson (CHC),22,77,77,10,0.319,0,0,0,0,0,0,127.94,90,186,0,0,0,0,1,1,0,1,0
George Springer,TOR,George Springer (TOR),27,94,75,16,0.332,0,0,0,0,0,0,121.22,75,147,0,0,0,0,0,0,1,1,0
Brandon Lowe,TBR,Brandon Lowe (TBR),23,72,67,5,0.329,0,0,0,0,0,0,282.95,210,360,0,0,1,0,0,1,0,1,0
Jeff McNeil,NYM,Jeff McNeil (NYM),11,69,71,5,0.347,0,0,0,0,0,0,329.13,205,359,0,0,1,0,0,1,1,1,0
Anthony Volpe,NYY,Anthony Volpe (NYY),20,69,70,22,0.306,0,0,0,0,0,0,119.59,87,142,0,0,0,0,1,1,0,1,0
Christian Yelich,MIL,Christian Yelich (MIL),20,89,76,21,0.363,0,0,0,0,0,0,74.86,51,95,0,0,0,0,0,0,1,1,0
Bryan Reynolds,PIT,Bryan Reynolds (PIT),25,94,84,9,0.346,0,0,0,0,0,0,91.48,70,142,0,0,0,0,0,0,1,1,0
Daulton Varsho,TOR,Daulton Varsho (TOR),25,72,77,16,0.308,0,0,0,0,0,0,197.59,154,257,0,0,0,0,0,0,1,1,0
Patrick Bailey,SFG,Patrick Bailey (SFG),9,38,39,2,0.294,0,0,0,0,0,0,358.84,294,356,1,0,0,0,0,0,0,1,0
Ha-Seong Kim,SDP,Ha-Seong Kim (SDP),15,70,63,24,0.329,0,0,0,0,0,0,87.64,56,127,0,0,1,1,1,1,0,1,0
Anthony Rendon,LAA,Anthony Rendon (LAA),18,82,62,7,0.353,0,0,0,0,0,0,359.95,301,360,0,0,0,1,0,1,0,1,0
J.T. Realmuto,PHI,J.T. Realmuto (PHI),18,62,68,14,0.318,0,0,0,0,0,0,76.63,56,102,1,0,0,0,0,0,0,1,0
Matt Chapman,SFG,Matt Chapman (SFG),22,71,76,4,0.321,0,0,0,0,0,0,280.53,192,359,0,0,0,1,0,1,0,1,0
Vinnie Pasquantino,KCR,Vinnie Pasquantino (KCR),25,81,85,2,0.362,0,0,0,0,0,0,168.6,132,230,0,1,0,0,0,1,0,1,0
Edouard Julien,MIN,Edouard Julien (MIN),16,74,51,6,0.357,0,0,0,0,0,0,208.45,141,276,0,0,1,0,0,1,0,1,0
Lars Nootbaar,STL,Lars Nootbaar (STL),17,68,58,8,0.359,0,0,0,0,0,0,288.29,182,360,0,0,0,0,0,0,1,1,0
Ke'Bryan Hayes,PIT,Ke'Bryan Hayes (PIT),17,75,75,17,0.323,0,0,0,0,0,0,148.18,115,201,0,0,0,1,0,1,0,1,0
Jeremy Peña,HOU,Jeremy Pena (HOU),18,72,72,13,0.316,0,0,0,0,0,0,236.24,138,318,0,0,0,0,1,1,0,1,0
